x_m,y_m,z_m,U,V,W
0.0422409,0.0,0.2003944,-0.0003703,0.0009319,-0.0017984
0.0438006,0.0,0.0251573,-0.0003498,0.0005426,0.0477031
0.0438006,0.0,0.0267219,-0.0003498,0.0005426,0.0477031
0.0438006,0.0,0.0282865,-0.0003612,0.0005679,0.0510595
0.0438006,0.0,0.0298511,-0.0003723,0.0005938,0.054585
0.0438006,0.0,0.0314157,-0.0003828,0.00062,0.0582811
0.0438006,0.0,0.0329804,-0.0004009,0.0006078,0.0582811
0.0438006,0.0,0.034545,-0.0004115,0.0006341,0.0621476
0.0438006,0.0,0.0361096,-0.0004212,0.0006606,0.0661829
0.0438006,0.0,0.0376742,-0.0004299,0.0006873,0.070383
0.0438006,0.0,0.0392388,-0.0004299,0.0006873,0.070383
0.0438006,0.0,0.0408034,-0.0004374,0.0007141,0.0747418
0.0438006,0.0,0.0423681,-0.0004435,0.0007408,0.0792508
0.0438006,0.0,0.0439327,-0.000448,0.0007673,0.0838984
0.0438006,0.0,0.0454973,-0.0004508,0.0007936,0.0886702
0.0438006,0.0,0.0470619,-0.0004508,0.0007936,0.0886702
0.0438006,0.0,0.0486265,-0.0004515,0.0008194,0.0935487
0.0438006,0.0,0.0501911,-0.0004502,0.0008447,0.0985129
0.0438006,0.0,0.0517558,-0.0004464,0.0008693,0.1035383
0.0438006,0.0,0.0533204,-0.0004464,0.0008693,0.1035383
0.0438006,0.0,0.054885,-0.0004402,0.0008931,0.108597
0.0438006,0.0,0.0564496,-0.0004314,0.0009161,0.1136574
0.0438006,0.0,0.0580142,-0.0004198,0.0009381,0.1186843
0.0438006,0.0,0.0595789,-0.0004198,0.0009381,0.1186843
0.0438006,0.0,0.0611435,-0.0004054,0.0009591,0.1236391
0.0438006,0.0,0.0627081,-0.0003882,0.0009789,0.1284796
0.0438006,0.0,0.0642727,-0.0003686,0.0009973,0.1331607
0.0438006,0.0,0.0658373,-0.0003686,0.0009973,0.1331607
0.0438006,0.0,0.0674019,-0.0003468,0.0010142,0.1376322
0.0438006,0.0,0.0689666,-0.0003235,0.001029,0.1418425
0.0438006,0.0,0.0705312,-0.0003053,0.0010375,0.1447556
0.0438006,0.0,0.0720958,-0.0002931,0.0010417,0.1465957
0.0438006,0.0,0.0736604,-0.0002687,0.001044,0.1499637
0.0438006,0.0,0.075225,-0.0002528,0.0010503,0.1514648
0.0438006,0.0,0.0767896,-0.0002132,0.0010752,0.1540422
0.0438006,0.0,0.0783543,-0.0001905,0.0010914,0.1550881
0.0438006,0.0,0.0799189,-0.0001398,0.0011295,0.1566035
0.0438006,0.0,0.0814835,-0.0001111,0.0011524,0.1570271
0.0438006,0.0,0.0830481,-4.34e-05,0.0012135,0.1570573
0.0438006,0.0,0.0846127,-2.4e-06,0.0012566,0.1565859
0.0438006,0.0,0.0861773,0.0001008,0.0013886,0.1544115
0.0438006,0.0,0.0877419,0.0001669,0.0014904,0.1525709
0.0438006,0.0,0.0893066,0.0003425,0.0018152,0.1469158
0.0438006,0.0,0.0908712,0.0004611,0.0020654,0.142848
0.0438006,0.0,0.0924358,0.0007997,0.0028159,0.1313918
0.0438006,0.0,0.0940004,0.0010434,0.0033372,0.1236126
0.0438006,0.0,0.095565,0.0017453,0.0046478,0.1033089
0.0438006,0.0,0.0971296,0.0022131,0.0053809,0.0909769
0.0438006,0.0,0.0986943,0.0032807,0.0067696,0.0633536
0.0438006,0.0,0.1002589,0.0037771,0.0073211,0.0485471
0.0438006,0.0,0.1018235,0.0043701,0.0079377,0.0176043
0.0438006,0.0,0.1033881,0.0043728,0.0079615,0.0016179
0.0438006,0.0,0.1049527,0.0038003,0.0074482,-0.0308951
0.0438006,0.0,0.1065173,0.0033201,0.0069568,-0.0471036
0.0438006,0.0,0.108082,0.0022745,0.0056979,-0.0782098
0.0438006,0.0,0.1096466,0.0018019,0.0050297,-0.0924351
0.0438006,0.0,0.1112112,0.00106,0.0038371,-0.1165154
