x_m,y_m,z_m,U,V,W
0.0422408578,0.0,0.1018235007,0.556879968,-0.719483258,0.062418202
0.0422408578,0.0,0.1033881175,0.568830254,-0.722552953,0.034682216
0.0422408578,0.0,0.1049527342,0.530541254,-0.70085725,0.005525023
0.0422408578,0.0,0.106517351,0.451666616,-0.647261977,-0.022767996
0.0422408578,0.0,0.1080819677,0.355249706,-0.573815171,-0.054593815
0.0422408578,0.0,0.1096465845,0.261395642,-0.458639166,-0.083396322
0.0422408578,0.0,0.1112112013,0.191752469,-0.376253023,-0.108305793
0.0422408578,0.0,0.112775818,0.139497095,-0.308785377,-0.126510152
0.0422408578,0.0,0.1143404348,0.096412085,-0.23727918,-0.138220655
0.0422408578,0.0,0.1159050515,0.062428472,-0.178665489,-0.146328539
0.0422408578,0.0,0.1174696683,0.038711468,-0.143492102,-0.149159947
0.0422408578,0.0,0.119034285,0.023050916,-0.125586904,-0.151269373
0.0422408578,0.0,0.1205989018,0.012786968,-0.116139002,-0.151688421
0.0422408578,0.0,0.1221635185,0.00674374,-0.115374338,-0.150395531
0.0422408578,0.0,0.1237281353,0.003776056,-0.123173516,-0.150027446
0.0422408578,0.0,0.125292752,0.001076886,-0.128910846,-0.149555079
0.0422408578,0.0,0.1268573688,-0.001564777,-0.134916975,-0.147386574
0.0422408578,0.0,0.1284219856,-0.004613979,-0.136521339,-0.14545109
0.0422408578,0.0,0.1299866023,-0.007811669,-0.134927145,-0.145404556
0.0422408578,0.0,0.1315512191,-0.009646797,-0.137546443,-0.144096877
0.0422408578,0.0,0.1331158358,-0.012040733,-0.13534314,-0.141532386
0.0422408578,0.0,0.1346804526,-0.015300325,-0.133054488,-0.138051964
0.0422408578,0.0,0.1362450693,-0.017093364,-0.133635426,-0.135099902
0.0422408578,0.0,0.1378096861,-0.016862872,-0.136875837,-0.132508886
0.0422408578,0.0,0.1393743028,-0.017268598,-0.139889285,-0.128952493
0.0422408578,0.0,0.1409389196,-0.018084867,-0.143308795,-0.12544454
0.0422408578,0.0,0.1425035363,-0.017901292,-0.150021673,-0.120382126
0.0422408578,0.0,0.1440681531,-0.019350162,-0.150727868,-0.115836994
0.0422408578,0.0,0.1456327699,-0.022999092,-0.14271155,-0.112024471
0.0422408578,0.0,0.1471973866,-0.023901815,-0.141830099,-0.106800919
0.0422408578,0.0,0.1487620034,-0.023915622,-0.144046609,-0.101925529
0.0422408578,0.0,0.1503266201,-0.026267935,-0.138548215,-0.098475056
0.0422408578,0.0,0.1518912369,-0.028714142,-0.132271634,-0.095167944
0.0422408578,0.0,0.1534558536,-0.030939717,-0.127954184,-0.090378964
0.0422408578,0.0,0.1550204704,-0.03268721,-0.12305956,-0.086255521
0.0422408578,0.0,0.1565850871,-0.031984524,-0.126958912,-0.082093776
0.0422408578,0.0,0.1581497039,-0.032083956,-0.125645048,-0.078309352
0.0422408578,0.0,0.1597143206,-0.033113247,-0.119101764,-0.075629902
0.0422408578,0.0,0.1612789374,-0.033258248,-0.116776328,-0.072630001
0.0422408578,0.0,0.1628435542,-0.033061433,-0.11779618,-0.068149395
0.0422408578,0.0,0.1644081709,-0.032692904,-0.115266915,-0.065007364
0.0422408578,0.0,0.1659727877,-0.032245712,-0.112028892,-0.062202011
0.0422408578,0.0,0.1675374044,-0.032450022,-0.108943641,-0.057622603
0.0422408578,0.0,0.1691020212,-0.032730609,-0.106125544,-0.053209865
0.0422408578,0.0,0.1706666379,-0.033802557,-0.099098519,-0.051587603
0.0422408578,0.0,0.1722312547,-0.033928921,-0.093858809,-0.050356064
0.0422408578,0.0,0.1737958714,-0.032754477,-0.092873819,-0.044664395
0.0422408578,0.0,0.1753604882,-0.03258923,-0.087830742,-0.040499653
0.0422408578,0.0,0.1769251049,-0.031484975,-0.084464124,-0.040670677
0.0422408578,0.0,0.1784897217,-0.029680059,-0.083808837,-0.040031686
0.0422408578,0.0,0.1800543385,-0.029232087,-0.087680865,-0.03445485
0.0422408578,0.0,0.1816189552,-0.028656061,-0.089637425,-0.030022321
0.0422408578,0.0,0.183183572,-0.027588001,-0.085769281,-0.030872525
0.0422408578,0.0,0.1847481887,-0.027344433,-0.079880659,-0.029190211
0.0422408578,0.0,0.1863128055,-0.026512532,-0.077263109,-0.026405585
0.0422408578,0.0,0.1878774222,-0.025697452,-0.077613534,-0.021167681
0.0422408578,0.0,0.189442039,-0.02646061,-0.065920552,-0.021582956
0.0422408578,0.0,0.1910066557,-0.028048467,-0.049191955,-0.021272727
0.0422408578,0.0,0.1925712725,-0.028811509,-0.046819368,-0.014318538
0.0422408578,0.0,0.1941358892,-0.027948286,-0.052709524,-0.010326207
0.0422408578,0.0,0.195700506,-0.027257402,-0.052225376,-0.011881037
0.0422408578,0.0,0.1972651228,-0.026815338,-0.056027903,-0.009005638
0.0422408578,0.0,0.1988297395,-0.025553387,-0.062289192,-0.00482864
0.0422408578,0.0,0.2003943563,-0.023698696,-0.062435028,-0.003871893
0.0438005687,0.0,0.0251572798,-0.024089675,0.001744692,0.030680392
0.0438005687,0.0,0.0267218965,-0.024976634,0.001364883,0.033538839
0.0438005687,0.0,0.0282865133,-0.025445198,-0.001455346,0.039197818
0.0438005687,0.0,0.02985113,-0.025252093,-0.006356628,0.047209454
0.0438005687,0.0,0.0314157468,-0.024313965,-0.024474241,0.049914346
0.0438005687,0.0,0.0329803635,-0.024424678,-0.035313085,0.053162389
0.0438005687,0.0,0.0345449803,-0.024928789,-0.045105935,0.057614429
0.0438005687,0.0,0.036109597,-0.025046074,-0.059006862,0.062564492
0.0438005687,0.0,0.0376742138,-0.02533368,-0.068734176,0.06682094
0.0438005687,0.0,0.0392388306,-0.025962206,-0.074748507,0.070784367
0.0438005687,0.0,0.0408034473,-0.026428362,-0.079191689,0.075591932
0.0438005687,0.0,0.0423680641,-0.025900814,-0.087377892,0.079575195
0.0438005687,0.0,0.0439326808,-0.024707901,-0.100202084,0.082840961
0.0438005687,0.0,0.0454972976,-0.02395632,-0.112752763,0.08813373
0.0438005687,0.0,0.0470619143,-0.023795041,-0.120781197,0.092782189
0.0438005687,0.0,0.0486265311,-0.023431644,-0.127979729,0.095446123
0.0438005687,0.0,0.0501911478,-0.022868335,-0.139211894,0.10081608
0.0438005687,0.0,0.0517557646,-0.022562998,-0.14476065,0.106515345
0.0438005687,0.0,0.0533203813,-0.021594502,-0.150778452,0.111457176
0.0438005687,0.0,0.0548849981,-0.020609802,-0.161137217,0.117157375
0.0438005687,0.0,0.0564496149,-0.020498482,-0.161771775,0.121847378
0.0438005687,0.0,0.0580142316,-0.020033549,-0.163782707,0.124633524
0.0438005687,0.0,0.0595788484,-0.019093115,-0.166937847,0.128009181
0.0438005687,0.0,0.0611434651,-0.017707243,-0.169771611,0.130405399
0.0438005687,0.0,0.0627080819,-0.016102222,-0.171340023,0.133671774
0.0438005687,0.0,0.0642726986,-0.014328887,-0.172805528,0.135942047
0.0438005687,0.0,0.0658373154,-0.013699822,-0.168385288,0.139517199
0.0438005687,0.0,0.0674019321,-0.012510029,-0.170060261,0.142047666
